Fiscal Year 2014,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,CW-1,CW-2,D,E-1,E-2,E-2C,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1B,H-1B1,H-1C,H-2A,H-2B,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,T-6,U-1,U-2,U-3,U-4,U-5,Total Visas,BCC,Grand Total
Algeria,42,246,0,31,"10,455",45,0,0,12,3,0,0,0,0,58,0,1,0,0,0,0,160,9,0,43,66,0,55,0,22,0,0,0,0,7,3,12,234,16,88,1,2,1,26,27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"11,676",0,"11,676"
Angola,99,224,5,26,"6,844",824,0,0,3,137,0,7,0,0,0,0,0,0,0,0,0,986,27,0,31,158,0,10,1,5,0,0,0,0,14,13,45,66,14,0,0,0,0,66,98,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,719",0,"9,719"
Benin,45,134,1,4,"1,365",14,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,180,3,0,26,34,0,47,1,5,0,0,0,0,0,1,7,35,4,8,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,944",0,"1,944"
Botswana,6,60,0,5,879,4,0,0,5,1,0,3,0,0,0,0,0,0,0,1,0,87,10,0,6,36,0,25,1,5,0,0,1,2,15,0,1,84,7,4,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,278",0,"1,278"
Burkina Faso,29,92,3,2,"3,161",1,0,0,9,0,0,42,0,0,2,0,0,0,0,0,0,624,8,0,9,84,0,35,5,7,0,0,0,0,0,1,6,70,1,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,210",0,"4,210"
Burundi,41,65,2,1,722,1,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,192,1,0,15,46,0,93,1,4,0,0,0,0,0,0,7,20,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,271",0,"1,271"
Cabo Verde,9,51,0,1,"2,349",2,0,0,2,23,0,4,0,0,1,0,0,0,0,0,0,59,0,0,7,9,0,6,1,2,0,0,0,0,0,2,0,13,0,65,12,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,622",0,"2,622"
Cameroon,34,460,2,9,"6,520",16,0,0,15,12,0,2,0,0,1,0,4,0,0,0,0,682,15,0,18,123,0,132,0,72,0,0,0,0,10,16,18,156,17,96,11,0,0,26,26,3,0,0,0,0,0,0,0,1,0,0,0,2,5,1,7,0,1,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,527",0,"8,527"
Central African Republic,16,7,0,0,137,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,0,0,23,48,0,11,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,271
Chad,40,125,0,10,797,3,0,0,5,0,0,4,0,0,1,0,0,0,0,0,0,52,0,0,70,94,0,34,0,0,0,0,0,0,0,0,13,32,0,0,0,0,0,4,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,294",0,"1,294"
