Geographic name,Total population,Period of immigration - Non-immigrants,Period of immigration - Immigrants
Canada,34460060,26412615,7540830
Newfoundland and Labrador,512250,496410,12080
Prince Edward Island,139685,129405,8940
Nova Scotia,908340,842760,55675
New Brunswick,730710,692535,33810
Quebec,7965450,6788085,1091305
Ontario,13242160,9188820,3852145
Manitoba,1240700,996860,227465
Saskatchewan,1070560,945810,112495
Alberta,3978145,3062780,845220
British Columbia,4560235,3167160,1292675
Yukon,35110,30265,4410
Northwest Territories,41135,37135,3690
Nunavut,35580,34605,920
