State,Median yearly  Income,Median monthly Rent,Average value of the dollar
Alabama,"$46,840 ",$998 ,$1.16 
Alaska,"$61,760 ","$1,748 ",$0.95 
Arizona,"$53,400 ","$1,356 ",$1.04 
Arkansas,"$44,780 ",$953 ,$1.17 
California,"$65,740 ","$2,518 ",$0.87 
Colorado,"$60,840 ","$1,927 ",$0.98 
Connecticut,"$65,450 ","$1,803 ",$0.94 
Delaware,"$56,700 ","$1,435 ",$1.01 
Florida,"$50,020 ","$1,590 ",$0.99 
Georgia,"$51,940 ","$1,262 ",$1.08 
Hawaii,"$58,190 ","$2,481 ",$0.85 
Idaho,"$46,800 ","$1,238 ",$1.08 
Illinois,"$58,070 ","$1,463 ",$1.02 
Indiana,"$48,650 ","$1,113 ",$1.12 
Iowa,"$49,280 ","$1,057 ",$1.12 
Kansas,"$48,610 ","$1,051 ",$1.11 
Kentucky,"$46,000 ","$1,084 ",$1.14 
Louisiana,"$46,460 ","$1,245 ",$1.12 
Maine,"$51,220 ","$1,466 ",$1.00 
Maryland,"$63,610 ","$1,807 ",$0.92 
Massachusetts,"$70,010 ","$2,252 ",$0.91 
Michigan,"$53,390 ","$1,110 ",$1.08 
Minnesota,"$58,720 ","$1,449 ",$1.03 
Mississippi,"$41,600 ","$1,055 ",$1.16 
Missouri,"$50,140 ","$1,047 ",$1.13 
Montana,"$47,270 ","$1,234 ",$1.07 
Nebraska,"$50,260 ","$1,253 ",$1.12 
Nevada,"$50,360 ","$1,423 ",$1.03 
New Hampshire,"$56,730 ","$1,748 ",$0.94 
New Jersey,"$63,690 ","$2,062 ",$0.87 
New Mexico,"$49,650 ","$1,200 ",$1.10 
New York,"$67,850 ","$2,050 ",$0.86 
North Carolina,"$51,010 ","$1,208 ",$1.09 
North Dakota,"$52,450 ","$1,290 ",$1.10 
Ohio,"$51,510 ","$1,113 ",$1.13 
Oklahoma,"$47,340 ",$950 ,$1.13 
Oregon,"$56,880 ","$1,707 ",$0.99 
Pennsylvania,"$53,950 ","$1,242 ",$1.03 
Rhode Island,"$60,240 ","$1,725 ",$1.01 
South Carolina,"$46,230 ","$1,209 ",$1.10 
South Dakota,"$44,960 ","$1,213 ",$1.14 
Tennessee,"$47,530 ","$1,153 ",$1.11 
Texas,"$52,400 ","$1,455 ",$1.03 
Utah,"$51,430 ","$1,526 ",$1.04 
Vermont,"$53,420 ","$1,599 ",$0.97 
Virginia,"$60,160 ","$1,452 ",$0.98 
Washington,"$66,870 ","$1,838 ",$0.93 
West Virginia,"$45,380 ",$888 ,$1.14 
Wisconsin,"$51,250 ","$1,141 ",$1.09 
Wyoming,"$51,180 ","$1,149 ",$1.08 
