Offense type,Incidents,Offenses,Victims,Known offenders
Murder and nonnegligent manslaughter,18,51,51,19
Rape,30,30,30,36
Aggravated assault,866,"1,158","1,158","1,094"
Simple assault,"1,730","2,023","2,023","2,030"
Intimidation,"1,849","2,206","2,206","1,640"
"Human trafficking, commercial sex acts",2,3,3,3
Robbery,125,125,149,227
Burglary,114,114,129,64
Larceny-theft,284,284,297,179
Motor vehicle theft,19,19,19,9
Arson,60,60,78,40
Destruction/damage/vandalism,"2,152","2,152","2,316","1,045"
Other,88,98,128,69
Crimes against society,236,236,236,279
