Index,"Region, development group, country or area of destination",Notes of destination,Location code of destination,Type of data of destination,Region and country of last residence,Location code of origin,Total
33490,   Canada,,124,B,   Afghanistan,4,27935
33491,   Canada,,124,B,   Albania,8,8374
33492,   Canada,,124,B,   Algeria,12,33074
33493,   Canada,,124,B,   Angola,24,1662
33494,   Canada,,124,B,   Antigua and Barbuda,28,1334
33495,   Canada,,124,B,   Azerbaijan*,31,2315
33496,   Canada,,124,B,   Argentina,32,10647
33497,   Canada,,124,B,   Australia*,36,11008
33498,   Canada,,124,B,   Austria,40,8962
33499,   Canada,,124,B,   Bahamas,44,914
33500,   Canada,,124,B,   Bahrain,48,1183
33501,   Canada,,124,B,   Bangladesh,50,31097
33502,   Canada,,124,B,   Armenia,51,2341
33503,   Canada,,124,B,   Barbados,52,8278
33504,   Canada,,124,B,   Belgium,56,10336
33505,   Canada,,124,B,   Bermuda*,60,946
33506,   Canada,,124,B,   Bhutan,64,2276
33507,   Canada,,124,B,   Bolivia (Plurinational State of),68,2449
33508,   Canada,,124,B,   Bosnia and Herzegovina,70,19482
33509,   Canada,,124,B,   Botswana,72,537
33510,   Canada,,124,B,   Brazil,76,17322
33511,   Canada,,124,B,   Belize,84,1113
33512,   Canada,,124,B,   British Virgin Islands*,92,46
33513,   Canada,,124,B,   Brunei Darussalam,96,2304
33514,   Canada,,124,B,   Bulgaria,100,10229
33515,   Canada,,124,B,   Myanmar,104,4513
33516,   Canada,,124,B,   Burundi,108,4631
33517,   Canada,,124,B,   Belarus,112,6365
33518,   Canada,,124,B,   Cambodia,116,13524
33519,   Canada,,124,B,   Cameroon,120,9996
33520,   Canada,,124,B,   Cabo Verde,132,84
33521,   Canada,,124,B,   Cayman Islands*,136,133
33522,   Canada,,124,B,   Central African Republic,140,553
33523,   Canada,,124,B,   Sri Lanka,144,72366
33524,   Canada,,124,B,   Chad,148,811
33525,   Canada,,124,B,   Chile,152,14587
33526,   Canada,,124,B,   China*,156,386291
33527,   Canada,,124,B,   Colombia,170,40906
33528,   Canada,,124,B,   Comoros,174,73
33529,   Canada,,124,B,   Congo,178,1188
33530,   Canada,,124,B,   Democratic Republic of the Congo,180,14473
33531,   Canada,,124,B,   Costa Rica,188,2331
33532,   Canada,,124,B,   Croatia,191,21589
33533,   Canada,,124,B,   Cuba,192,9991
33534,   Canada,,124,B,   Cyprus*,196,2148
33535,   Canada,,124,B,   Czechia,203,11936
33536,   Canada,,124,B,   Benin,204,1243
33537,   Canada,,124,B,   Denmark*,208,6554
33538,   Canada,,124,B,   Dominica,212,1760
33539,   Canada,,124,B,   Dominican Republic,214,5902
33540,   Canada,,124,B,   Ecuador,218,8795
33541,   Canada,,124,B,   El Salvador,222,26081
33542,   Canada,,124,B,   Equatorial Guinea,226,24
33543,   Canada,,124,B,   Ethiopia,231,18109
33544,   Canada,,124,B,   Eritrea,232,7777
33545,   Canada,,124,B,   Estonia,233,2002
33546,   Canada,,124,B,   Fiji,242,14338
33547,   Canada,,124,B,   Finland*,246,6085
33548,   Canada,,124,B,   France*,250,54052
33549,   Canada,,124,B,   French Guiana*,254,155
33550,   Canada,,124,B,   French Polynesia*,258,95
33551,   Canada,,124,B,   Djibouti,262,1327
33552,   Canada,,124,B,   Gabon,266,617
33553,   Canada,,124,B,   Georgia*,268,1474
33554,   Canada,,124,B,   Gambia,270,316
33555,   Canada,,124,B,   State of Palestine*,275,3920
33556,   Canada,,124,B,   Germany,276,82225
33557,   Canada,,124,B,   Ghana,288,12292
33558,   Canada,,124,B,   Gibraltar*,292,95
33559,   Canada,,124,B,   Greece,300,33544
33560,   Canada,,124,B,   Grenada,308,6673
33561,   Canada,,124,B,   Guadeloupe*,312,289
33562,   Canada,,124,B,   Guatemala,320,9280
33563,   Canada,,124,B,   Guinea,324,2772
33564,   Canada,,124,B,   Guyana,328,52516
33565,   Canada,,124,B,   Haiti,332,56589
33566,   Canada,,124,B,   Honduras,340,4382
33567,   Canada,,124,B,"   China, Hong Kong SAR*",344,119491
33568,   Canada,,124,B,   Hungary,348,20333
33569,   Canada,,124,B,   Iceland,352,343
33570,   Canada,,124,B,   India,356,360429
33571,   Canada,,124,B,   Indonesia,360,8494
33572,   Canada,,124,B,   Iran (Islamic Republic of),364,82371
33573,   Canada,,124,B,   Iraq,368,36306
33574,   Canada,,124,B,   Ireland,372,15049
33575,   Canada,,124,B,   Israel,376,13308
33576,   Canada,,124,B,   Italy,380,127174
33577,   Canada,,124,B,   Côte d'Ivoire,384,5978
33578,   Canada,,124,B,   Jamaica,388,84454
33579,   Canada,,124,B,   Japan,392,20776
33580,   Canada,,124,B,   Kazakhstan,398,7190
33581,   Canada,,124,B,   Jordan,400,6673
33582,   Canada,,124,B,   Kenya,404,15448
