Index,"Region, development group, country or area of destination",Notes of destination,Location code of destination,Type of data of destination,Region and country of last residence,Location code of origin,Total
22603,   United Kingdom*,10,826,B,   Afghanistan,4,19894
22604,   United Kingdom*,10,826,B,   Albania,8,3905
22605,   United Kingdom*,10,826,B,   Algeria,12,7713
22606,   United Kingdom*,10,826,B,   Andorra,20,23
22607,   United Kingdom*,10,826,B,   Angola,24,7264
22608,   United Kingdom*,10,826,B,   Anguilla*,660,426
22609,   United Kingdom*,10,826,B,   Antigua and Barbuda,28,2805
22610,   United Kingdom*,10,826,B,   Argentina,32,6566
22611,   United Kingdom*,10,826,B,   Armenia,51,820
22612,   United Kingdom*,10,826,B,   Aruba*,533,537
22613,   United Kingdom*,10,826,B,   Australia*,36,70733
22614,   United Kingdom*,10,826,B,   Austria,40,11670
22615,   United Kingdom*,10,826,B,   Azerbaijan*,31,1237
22616,   United Kingdom*,10,826,B,   Bahamas,44,1326
22617,   United Kingdom*,10,826,B,   Bahrain,48,3286
22618,   United Kingdom*,10,826,B,   Bangladesh,50,118012
22619,   United Kingdom*,10,826,B,   Barbados,52,14031
22620,   United Kingdom*,10,826,B,   Belarus,112,2426
22621,   United Kingdom*,10,826,B,   Belgium,56,16871
22622,   United Kingdom*,10,826,B,   Belize,84,1191
22623,   United Kingdom*,10,826,B,   Benin,204,269
22624,   United Kingdom*,10,826,B,   Bermuda*,60,2483
22625,   United Kingdom*,10,826,B,   Bhutan,64,118
22626,   United Kingdom*,10,826,B,   Bolivia (Plurinational State of),68,1792
22627,   United Kingdom*,10,826,B,   Bosnia and Herzegovina,70,5427
22628,   United Kingdom*,10,826,B,   Botswana,72,1813
22629,   United Kingdom*,10,826,B,   Brazil,76,25451
22630,   United Kingdom*,10,826,B,   British Virgin Islands*,92,236
22631,   United Kingdom*,10,826,B,   Brunei Darussalam,96,2912
22632,   United Kingdom*,10,826,B,   Bulgaria,100,54554
22633,   United Kingdom*,10,826,B,   Burkina Faso,854,92
22634,   United Kingdom*,10,826,B,   Burundi,108,2421
22635,   United Kingdom*,10,826,B,   Cabo Verde,132,574
22636,   United Kingdom*,10,826,B,   Cambodia,116,760
22637,   United Kingdom*,10,826,B,   Cameroon,120,4597
22638,   United Kingdom*,10,826,B,   Canada,124,57547
22639,   United Kingdom*,10,826,B,   Cayman Islands*,136,730
22640,   United Kingdom*,10,826,B,   Central African Republic,140,198
22641,   United Kingdom*,10,826,B,   Chad,148,123
22642,   United Kingdom*,10,826,B,   Channel Islands*,830,8155
22643,   United Kingdom*,10,826,B,   Chile,152,4500
22644,   United Kingdom*,10,826,B,   China*,156,114687
22645,   United Kingdom*,10,826,B,"   China, Hong Kong SAR*",344,61688
22646,   United Kingdom*,10,826,B,   Colombia,170,15101
22647,   United Kingdom*,10,826,B,   Comoros,174,75
22648,   United Kingdom*,10,826,B,   Congo,178,4602
22649,   United Kingdom*,10,826,B,   Costa Rica,188,394
22650,   United Kingdom*,10,826,B,   Côte d'Ivoire,384,3648
22651,   United Kingdom*,10,826,B,   Croatia,191,4927
22652,   United Kingdom*,10,826,B,   Cuba,192,1242
22653,   United Kingdom*,10,826,B,   Cyprus*,196,33790
22654,   United Kingdom*,10,826,B,   Czechia,203,30870
22655,   United Kingdom*,10,826,B,   Dem. People's Republic of Korea,408,6711
22656,   United Kingdom*,10,826,B,   Democratic Republic of the Congo,180,10067
22657,   United Kingdom*,10,826,B,   Denmark*,208,15987
22658,   United Kingdom*,10,826,B,   Djibouti,262,257
22659,   United Kingdom*,10,826,B,   Dominica,212,4677
22660,   United Kingdom*,10,826,B,   Dominican Republic,214,610
22661,   United Kingdom*,10,826,B,   Ecuador,218,4290
22662,   United Kingdom*,10,826,B,   Egypt,818,16531
22663,   United Kingdom*,10,826,B,   El Salvador,222,791
22664,   United Kingdom*,10,826,B,   Equatorial Guinea,226,147
22665,   United Kingdom*,10,826,B,   Eritrea,232,8405
22666,   United Kingdom*,10,826,B,   Estonia,233,9696
22667,   United Kingdom*,10,826,B,   Eswatini,748,852
22668,   United Kingdom*,10,826,B,   Ethiopia,231,8469
22669,   United Kingdom*,10,826,B,   Falkland Islands (Malvinas)*,238,797
22670,   United Kingdom*,10,826,B,   Faroe Islands*,234,270
22671,   United Kingdom*,10,826,B,   Fiji,242,3160
22672,   United Kingdom*,10,826,B,   Finland*,246,13343
22673,   United Kingdom*,10,826,B,   France*,250,96949
22674,   United Kingdom*,10,826,B,   French Polynesia*,258,61
22675,   United Kingdom*,10,826,B,   Gabon,266,186
