State,Jan.,Feb.,March,April,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,Annual avg,State code
Alabama,4.3,4,3.8,3.6,3.4,3.3,3.2,3.1,3.1,3.1,3.1,3.1,3.425,AL
Alaska,6.6,6.6,6.6,6.7,6.6,6.6,6.6,6.4,6.3,6.1,6,5.7,6.4,AK
Arizona,6.7,6.9,6.7,6.7,6.7,6.8,6.6,6.2,5.7,5.2,4.7,4.1,6.083333333,AZ
Arkansas,4.6,4.5,4.4,4.4,4.4,4.4,4.3,4.2,4,3.7,3.4,3.1,4.116666667,AR
California,9,8.5,8.3,8.3,7.9,7.7,7.6,7.5,7.5,7.3,6.9,6.5,7.75,CA
Colorado,6.6,6.6,6.4,6.4,6.2,6.2,6.1,5.9,5.6,5.4,5.1,4.8,5.941666667,CO
Connecticut,8.1,8.5,8.3,8.1,7.7,7.9,7.3,7.2,6.8,6.4,6,5.8,7.341666667,CT
Delaware,6.1,6.3,6.5,6.4,5.9,5.8,5.6,5.4,5.3,5.3,5.1,5,5.725,DE
D.C.,8.4,8.1,7.8,7.5,7.2,7,6.7,6.5,6.5,6.3,6,5.8,6.983333333,DC
Florida,4.8,4.7,4.7,4.8,4.9,5,5.1,5,4.9    ,4.6,4.5,4.4,4.772727273,FL
Georgia,5.1,4.8,4.5,4.3,4.1,4,3.7,3.5,3.2    ,3.1,2.8,2.6,3.863636364,GA
Hawaii,10.2,9.2,9,8.5,8.1,7.7,7.3,7,6.6,6.3,6,5.7,7.633333333,HI
Idaho,3.4,3.3,3.2,3.1,3,3,3,2.9,2.9    ,2.8,2.6,2.4,2.972727273,ID
Illinois,7.7,7.4,7.1,7.1,7.1,7.2,7.1,7,6.8,6,5.7,5.3,6.791666667,IL
Indiana,4.2,4,3.9,3.9,4,4.1,4.1,4.1,4.0    ,3.3,3,2.7,3.754545455,IN
Iowa,3.5,3.6,3.7,3.8,3.9,4,4.1,4.1,4,3.9,3.7,3.5,3.816666667,IA
Kansas,3.5,3.2,3.7,3.5,3.5,3.7,3.8,3.6,3.9,3.9,3.6,3.3,3.6,KS
Kentucky,5.3,5.2,5,4.7,4.5,4.4,4.4,4.3,4.3,4.2,4.1,3.9,4.525,KY
Louisiana,7.6,7.6,7.3,7.3,7.1,6.9,6.6,6.2,5.8    ,5.4,5.1,4.8,6.536363636,LA
Maine,5.2,4.8,4.8,4.8,4.7,4.8,4.9,4.9,4.8    ,4.9,4.8,4.7,4.845454545,ME
Maryland,6.4,6.2,6.2,6.2,6.1,6.2,6,5.6,5.9    ,5.7,5.4,5,5.909090909,MD
Massachusetts,7.8,7.1,6.8,6.4,5,4.9,4.9,5,5.2,5.3,5.4,3.9,5.641666667,MA
Michigan,5.7,5.2,5.1,4.9,5,5,4.8,4.7,4.6    ,6.1,5.9,5.6,5.272727273,MI
Minnesota,4.5,4.3,4.2,4.1,4,4,3.9,3.8,3.7,3.5,3.3,3.1,3.866666667,MN
Mississippi,6.4,6.3,6.3,6.2,6.1,6.2,6.1,6,5.8    ,5.5,5,4.5,5.872727273,MS
Missouri,4.3,4.2,4.2,4.1,4.2,4.3,4.2,4,3.8,3.7,3.5,3.3,3.983333333,MO
Montana,4,3.9,3.8,3.7,3.6,3.7,3.6,3.5,3.3    ,3.1,2.8,2.5,3.472727273,NV
Nebraska,3.2,3.1,2.9,2.8,2.6,2.5,2.3,2.2,2.0    ,1.9,1.8,1.7,2.454545455,NH
Nevada,8.1,8.3,8.1,8,7.8,7.8,7.7,7.7,7.5    ,7.3,6.8,6.4,7.636363636,NJ
New Hampshire,3.6,3.3,3,2.8,2.5,2.9,2.9,3,2.9,2.9,2.7,2.6,2.925,NM
New Jersey,7.9,7.8,7.7,7.5,7.2,7.3,7.3,7.2,7.1,7,6.6,6.3,7.241666667,NY
New Mexico,8.7,8.3,8.3,8.2,8,7.9,7.6,7.2,6.9,6.5,6.2,5.8,7.466666667,NC
New York,8.8,8.9,8.5,8.2,7.8,7.7,7.6,7.4,7.1,6.9,6.6,6.2,7.641666667,ND
North Carolina,5.9,5.7,5.2,5,4.8,4.6,4.4,4.3,4.2,4.1,3.9,3.7,4.65,OH
North Dakota,4.5,4.7,4.4,4.2,4,4,2.9,3.6,3.5,3.3,3.2,3.1,3.783333333,OK
Ohio,5.3,5,4.7,4.7,5,5.2,5.4,5.4,5.4,5.1,4.8,4.5,5.041666667,OR
Oklahoma,4.3,4.4,4.2,4.3,4,3.7,3.5,3.2,3,2.7,2.5,2.3,3.508333333,PA
Oregon,6.2,6.1,6,5.9,5.8,5.6,5.2,4.9,4.7,4.4,4.2,4.1,5.258333333,PR
Pennsylvania,7.3,7.3,7.3,7.4,6.9,6.9,6.6,6.4,6.2,6,5.7,5.4,6.616666667,RI
Rhode Island,7.2,7.3,7.1,6.3,6,5.9,5.8,5.8,5.2,5.4,5.1,4.8,5.991666667,SC
South Carolina,5.3,5.2,5.1,5,4.6,4.5,4.3,4.2,4.1,3.9,3.7,3.5,4.45,SD
South Dakota,3.1,2.9,2.9,2.8,2.8,2.9,2.9,2.9,2.9,2.8,2.7,2.6,2.85,TN
Tennessee,5.1,4.9,5,5,5,4.9,4.7,4.6,4.4,4.2,4,3.8,4.633333333,TX
Texas,6.8,6.9,6.9,6.7,6.5,6.5,6.2,5.9,5.6,5.4,5.2,5,6.133333333,UT
Utah,3.1,3,2.9,2.8,2.7,2.7,2.6,2.6,2.4,2.2,2.1,1.9,2.583333333,VT
Vermont,3.2,3.1,2.9,2.9,2.6,3.1,3,3,2.9,2.8,2.6,2.5,2.883333333,VA
Virginia,5.3,5.2,5.1,4.7,4.5,4.3,4.2,4,3.8,3.6,3.4,3.2,4.275,VI
Washington,6,5.6,5.4,5.4,5.2,5.2,5.1,5.1,4.9,5,4.7,4.5,5.175,WA
